Trade_ID,Ticker,Type,Qty,Entry_Time,Entry_Price,Exit_Time,Exit_Price,PnL,Status
tr_1781272424,TSLA,LONG,253,2026-06-12 09:53:44,397.5199890136719,2026-06-12 09:59:20,395.50201416015625,-510.55,CLOSED
tr_1781272424,NVDA,LONG,493,2026-06-12 09:53:44,204.0200042724609,2026-06-12 10:04:26,205.109603881836,537.17,CLOSED
tr_1781272424,AAPL,LONG,345,2026-06-12 09:53:44,291.8099975585937,2026-06-12 09:59:50,291.0599975585937,-258.75,CLOSED
tr_1781272424,META,LONG,179,2026-06-12 09:53:44,562.6300048828125,2026-06-12 10:21:33,565.2899780273438,476.14,CLOSED
tr_1781273707,NFLX,LONG,887,2026-06-12 10:15:07,79.4000015258789,2026-06-12 10:16:39,79.74500274658203,306.02,CLOSED
tr_1781274625,AAPL,LONG,346,2026-06-12 10:30:25,291.9849853515625,2026-06-12 10:33:58,291.42999267578125,-192.03,CLOSED
tr_1781274868,TSLA,LONG,256,2026-06-12 10:34:28,394.3299865722656,2026-06-12 10:36:30,397.0400085449219,693.77,CLOSED
tr_1781274868,AAPL,LONG,346,2026-06-12 10:34:28,291.57501220703125,2026-06-12 10:44:07,291.0,-198.95,CLOSED
tr_1781275173,AMZN,LONG,302,2026-06-12 10:39:33,236.0901031494141,2026-06-12 10:43:06,235.65499877929688,-131.4,CLOSED
tr_1781275416,AMZN,LONG,301,2026-06-12 10:43:36,235.39610290527344,2026-06-12 10:53:17,236.69500732421875,390.97,CLOSED
tr_1781275447,NVDA,LONG,243,2026-06-12 10:44:07,204.6349029541016,2026-06-12 10:47:41,204.01499938964844,-150.64,CLOSED
tr_1781275447,META,LONG,88,2026-06-12 10:44:07,563.2899780273438,2026-06-12 10:53:17,567.5700073242188,376.64,CLOSED
tr_1781275478,AAPL,LONG,172,2026-06-12 10:44:38,291.04998779296875,2026-06-12 10:48:42,290.57000732421875,-82.56,CLOSED
tr_1781275630,AMD,LONG,68,2026-06-12 10:47:10,509.1000061035156,2026-06-12 10:58:53,514.1275024414062,341.87,CLOSED
tr_1781275630,NFLX,LONG,439,2026-06-12 10:47:10,79.76000213623047,2026-06-12 10:49:44,79.62999725341797,-57.07,CLOSED
tr_1781275691,NVDA,LONG,141,2026-06-12 10:48:11,204.1499938964844,2026-06-12 10:54:19,205.259994506836,156.51,CLOSED
tr_1781275753,TSLA,LONG,89,2026-06-12 10:49:13,392.7699890136719,2026-06-12 10:53:49,396.3499145507813,318.61,CLOSED
tr_1781275753,AAPL,LONG,121,2026-06-12 10:49:13,290.3099975585937,2026-06-12 10:54:19,291.260009765625,114.95,CLOSED
tr_1781275814,NFLX,LONG,223,2026-06-12 10:50:14,79.5999984741211,2026-06-12 10:53:17,79.91000366210938,69.13,CLOSED
